population_density,income_stratum,fuel_expenditure_sol,edu_level_head,household_size_avg,nse_ab_pct,nse_de_pct,waste_per_capita_kg,pct_recyclable,pct_plastic,informal_recyclers_count,slope_pct,urbanized_area_pct,dist_nearest_recycling_m,recycling_density_1km,recycling_potential_index,road_density,dist_nearest_road_m,dist_to_market_m,has_park_300m,is_optimal,latitude,longitude,centroid_lat,centroid_lon,urbanization_rate,Distrito,num_households,nse_c_pct,walkability_score,poi_commercial_500m,poi_educational_500m,land_use_encoded,area_m2,district_id,poi_parks_500m,recycling_deficit,coverage_gap_index,accessibility_composite,nse_high_ratio
8540,5,65.0,5.5,2.8,71.0,4.0,0.74,31.2,12.4,14,0.0,95.0,683.2294937925676,0,1971.7152,0.035,150.0,400.0,1,0,-12.124321203448318,-77.03099157296982,,,0.95,Miraflores,28000,25.0,0.8,8,3,1,600,1,1.0,1,1.0,0.6799999999999999,71.0
8540,5,65.0,5.5,2.8,71.0,4.0,0.74,31.2,12.4,14,0.0,95.0,1312.3900172737308,0,1971.7152,0.035,150.0,400.0,1,0,-12.115283610028388,-77.03092319026166,,,0.95,Miraflores,28000,25.0,0.8,8,3,1,600,1,1.0,1,1.0,0.6799999999999999,71.0
8540,5,65.0,5.5,2.8,71.0,4.0,0.74,31.2,12.4,14,0.0,95.0,822.4215707122157,0,1971.7152,0.035,150.0,400.0,1,0,-12.124421834123307,-77.01721459418889,,,0.95,Miraflores,28000,25.0,0.8,8,3,1,600,1,1.0,1,1.0,0.6799999999999999,71.0
13200,4,55.0,5.1,3.1,56.0,8.0,0.68,28.4,11.1,8,0.0,95.0,424.6720097763112,2,2549.184,0.035,150.0,400.0,1,0,-12.096756303706051,-77.05969104416302,,,0.95,Magdalena del Mar,22000,36.0,0.75,6,2,1,500,2,1.0,0,0.0,0.6499999999999999,56.0
8540,5,65.0,5.5,2.8,71.0,4.0,0.74,31.2,12.4,14,0.0,95.0,1840.922328667751,0,1971.7152,0.035,150.0,400.0,1,0,-12.122219530076611,-77.00569819214797,,,0.95,Miraflores,28000,25.0,0.8,8,3,1,600,1,1.0,1,1.0,0.6799999999999999,71.0
8540,5,65.0,5.5,2.8,71.0,4.0,0.74,31.2,12.4,14,0.0,95.0,1024.83057287318,0,1971.7152,0.035,150.0,400.0,1,0,-12.124287507927948,-77.03558387185302,,,0.95,Miraflores,28000,25.0,0.8,8,3,1,600,1,1.0,1,1.0,0.6799999999999999,71.0
8540,5,65.0,5.5,2.8,71.0,4.0,0.74,31.2,12.4,14,0.0,95.0,885.3386396907849,0,1971.7152,0.035,150.0,400.0,1,0,-12.12849183055906,-77.03519087111668,,,0.95,Miraflores,28000,25.0,0.8,8,3,1,600,1,1.0,1,1.0,0.6799999999999999,71.0
8540,5,65.0,5.5,2.8,71.0,4.0,0.74,31.2,12.4,14,0.0,95.0,919.9089328261864,0,1971.7152,0.035,150.0,400.0,1,0,-12.123649753251724,-77.03974518951249,,,0.95,Miraflores,28000,25.0,0.8,8,3,1,600,1,1.0,1,1.0,0.6799999999999999,71.0
13200,4,55.0,5.1,3.1,56.0,8.0,0.68,28.4,11.1,8,0.0,95.0,870.8227725678046,0,2549.184,0.035,150.0,400.0,1,0,-12.100189224730816,-77.07167252240225,,,0.95,Magdalena del Mar,22000,36.0,0.75,6,2,1,500,2,1.0,1,1.0,0.6499999999999999,56.0
8540,5,65.0,5.5,2.8,71.0,4.0,0.74,31.2,12.4,14,0.0,95.0,926.0309509273236,0,1971.7152,0.035,150.0,400.0,1,0,-12.12010246099875,-77.02663938697944,,,0.95,Miraflores,28000,25.0,0.8,8,3,1,600,1,1.0,1,1.0,0.6799999999999999,71.0
8540,5,65.0,5.5,2.8,71.0,4.0,0.74,31.2,12.4,14,0.0,95.0,924.9248051018952,0,1971.7152,0.035,150.0,400.0,1,0,-12.111094889858364,-77.05331711664428,,,0.95,Miraflores,28000,25.0,0.8,8,3,1,600,1,1.0,1,1.0,0.6799999999999999,71.0
13200,4,55.0,5.1,3.1,56.0,8.0,0.68,28.4,11.1,8,0.0,95.0,589.3310596553699,0,2549.184,0.035,150.0,400.0,1,0,-12.096937338220938,-77.06752089242362,,,0.95,Magdalena del Mar,22000,36.0,0.75,6,2,1,500,2,1.0,1,1.0,0.6499999999999999,56.0
8540,5,65.0,5.5,2.8,71.0,4.0,0.74,31.2,12.4,14,0.0,95.0,812.3758743980575,0,1971.7152,0.035,150.0,400.0,1,0,-12.11105524464578,-77.04005478224313,,,0.95,Miraflores,28000,25.0,0.8,8,3,1,600,1,1.0,1,1.0,0.6799999999999999,71.0
8540,5,65.0,5.5,2.8,71.0,4.0,0.74,31.2,12.4,14,0.0,95.0,1565.0733009304222,0,1971.7152,0.035,150.0,400.0,1,0,-12.12448854132428,-77.00802987353487,,,0.95,Miraflores,28000,25.0,0.8,8,3,1,600,1,1.0,1,1.0,0.6799999999999999,71.0
